Normal Costs,CUDA Costs,CUDA Cost Diff,Normal Removal,CUDA Removal,Memmove Removal,CUDA Removal Diff,Memmove Removal Diff
57,10,47,3,14,2,11,+AC0-1
55,11,44,15,49,3,34,+AC0-12
56,11,45,47,157,4,110,+AC0-43
56,11,45,22,73,2,51,+AC0-20
56,11,45,19,64,3,45,+AC0-16
55,11,44,13,44,2,31,+AC0-11
56,10,46,8,29,2,21,+AC0-6
56,11,45,9,33,2,24,+AC0-7
56,11,45,21,70,3,49,+AC0-18
56,10,46,35,120,4,85,+AC0-31
55,11,44,18,63,3,45,+AC0-15
55,11,44,21,73,3,52,+AC0-18
55,10,45,15,49,2,34,+AC0-13
55,11,44,42,139,4,97,+AC0-38
55,11,44,1,8,2,7,1
55,11,44,9,34,2,25,+AC0-7
56,11,45,31,104,3,73,+AC0-28
55,10,45,39,131,3,92,+AC0-36
55,10,45,10,32,2,22,+AC0-8
55,11,44,21,70,3,49,+AC0-18
55,11,44,37,122,3,85,+AC0-34
55,10,45,19,64,2,45,+AC0-17
55,12,43,14,51,2,37,+AC0-12
55,11,44,32,107,3,75,+AC0-29
55,11,44,12,38,2,26,+AC0-10
55,11,44,19,63,3,44,+AC0-16
56,11,45,4,14,2,10,+AC0-2
55,10,45,38,129,3,91,+AC0-35
55,11,44,50,167,4,117,+AC0-46
61,10,51,35,114,3,79,+AC0-32
56,11,45,22,74,2,52,+AC0-20
56,10,46,13,43,3,30,+AC0-10
54,11,43,1,5,2,4,1
55,11,44,10,34,2,24,+AC0-8
55,11,44,41,136,4,95,+AC0-37
54,11,43,42,140,4,98,+AC0-38
54,10,44,30,102,3,72,+AC0-27
55,10,45,16,54,3,38,+AC0-13
57,11,46,34,116,3,82,+AC0-31
54,11,43,20,65,2,45,+AC0-18
55,11,44,3,12,2,9,+AC0-1
54,11,43,12,39,2,27,+AC0-10
54,11,43,20,68,2,48,+AC0-18
55,10,45,10,34,2,24,+AC0-8
55,12,43,21,70,4,49,+AC0-17
55,9,46,16,52,3,36,+AC0-13
54,11,43,43,140,4,97,+AC0-39
54,11,43,36,124,4,88,+AC0-32
54,11,43,8,29,2,21,+AC0-6
54,10,44,2,8,2,6,0
54,11,43,48,160,4,112,+AC0-44
56,9,47,19,63,2,44,+AC0-17
54,11,43,14,46,2,32,+AC0-12
54,11,43,41,135,4,94,+AC0-37
54,11,43,30,102,3,72,+AC0-27
54,10,44,12,41,2,29,+AC0-10
54,11,43,39,128,4,89,+AC0-35
55,11,44,33,113,3,80,+AC0-30
54,10,44,2,11,2,9,0
54,11,43,19,64,3,45,+AC0-16
54,11,43,29,99,3,70,+AC0-26
55,10,45,9,33,3,24,+AC0-6
54,11,43,15,53,3,38,+AC0-12
55,11,44,22,73,3,51,+AC0-19
53,10,43,17,62,2,45,+AC0-15
54,11,43,50,165,4,115,+AC0-46
54,11,43,31,106,3,75,+AC0-28
54,10,44,3,13,2,10,+AC0-1
54,12,42,19,65,4,46,+AC0-15
54,9,45,43,142,4,99,+AC0-39
